text,aspect,cleaned_text,cleaned_aspect,label
"videos* some can be over 15mins, does that change the editing speed requirements?",speed,videos some can be over 15mins does that change the editing speed requirements,speed,1
"your workspaces stay consistent, c.",workspaces,your workspaces stay consistent c,workspaces,2
or else you can go for business yearly plan with 40% discount that will be $90 ($7.5 month),business,or else you can go for business yearly plan with 40 discount that will be 90 75 month,business,1
"now, we have a zoomable scene timeline, so if you press ctrl and scroll down on your keyboard, the scenes below will compress to give you the whole video's view, and then you can move the timeline marker to play from a specific spot",scene,now we have a zoomable scene timeline so if you press ctrl and scroll down on your keyboard the scenes below will compress to give you the whole videos view and then you can move the timeline marker to play from a specific spot,scene,1
"could i perhaps prove to you i am a university student, then use my personal email to get the free benefits that university students can get in notion?",free,could i perhaps prove to you i am a university student then use my personal email to get the free benefits that university students can get in notion,free,2
"hi, i just uploaded a video i made to youtube and there was a copyright claim on the music from your music library.",music,hi i just uploaded a video i made to youtube and there was a copyright claim on the music from your music library,music,0
you can use our timeline database.,database,you can use our timeline database,database,1
All of your tasks at your hand.,tasks,All of your tasks at your hand,tasks,1
notion worked for a time and now just stops at the loading screen.,Notion,notion worked for a time and now just stops at the loading screen,Notion,0
The app don't show the sub tasks of a project which is an issue leading to delay in folow up also don't have a reminder feather early,sub tasks,The app dont show the sub tasks of a project which is an issue leading to delay in folow up also dont have a reminder feather early,sub tasks,0
"For a couple of months after the update, the date has been You can't use.",update,For a couple of months after the update the date has been You cant use,update,1
so the price will be $108 for business yearly plan,price,so the price will be 108 for business yearly plan,price,0
"yes, this is the only thing i wanted widgets to do when i saw this announcement.",widgets,yes this is the only thing i wanted widgets to do when i saw this announcement,widgets,1
"super versatile project managment, research and data base tool!",tool!,super versatile project managment research and data base tool,tool,2
i try to stick to the notes app in my phone for urgent stuff.,phone,i try to stick to the notes app in my phone for urgent stuff,phone,2
"hopefully, the developers can focus on catering student's welfare too.",student's welfare,hopefully the developers can focus on catering students welfare too,students welfare,0
I will tell you what i do not like payments made on your app takes a long time to reflect and renew subcription.,renew subcription.,I will tell you what i do not like payments made on your app takes a long time to reflect and renew subcription,renew subcription,0
fruit quality can be improved.,Fruit,fruit quality can be improved,Fruit,0
"sorry i do not wish to discuss the matter, can you cancel the subscription please",cancel,sorry i do not wish to discuss the matter can you cancel the subscription please,cancel,1
"this is a great app, and is continually getting better.","app,",this is a great app and is continually getting better,app,2
Best task manager.,task,Best task manager,task,2
i really want to stop the billing on my subscription how do i do that?,subscription,i really want to stop the billing on my subscription how do i do that,subscription,0
best app ever now,app,best app ever now,app,2
"delivery inconsistent, and no action on 2 complaints on no delivery",Delivery,delivery inconsistent and no action on 2 complaints on no delivery,Delivery,0
this is not nearly enough and leaves a lot of whys: why the only supported row height is one line?,row height,this is not nearly enough and leaves a lot of whys why the only supported row height is one line,row height,0
I fell in love with Airtable and quickly felt inspired to get all my team on it for project management.,project management,I fell in love with Airtable and quickly felt inspired to get all my team on it for project management,project management,1
are the items in trash sorted chronically?,Trash,are the items in trash sorted chronically,Trash,1
ease the service provides,service,ease the service provides,service,2
how to remove uploded video audio,audio,how to remove uploded video audio,audio,1
try to sale curd and chakka also,chakka,try to sale curd and chakka also,chakka,0
", bc this account needs a pricing-model.",pricing, bc this account needs a pricingmodel,pricing,1
but can not remove water mark,remove,but can not remove water mark,remove,1
"however, a major issue for me is the swipe right from thr left edge to access the drawer.",left edge,however a major issue for me is the swipe right from thr left edge to access the drawer,left edge,0
App is forcing me to update my iOS.,update,App is forcing me to update my iOS,update,0
delivery related..extra charges for milk packet delivery..,milk,delivery relatedextra charges for milk packet delivery,milk,0
how do i cut a scene in half?,scene,how do i cut a scene in half,scene,1
asked to allow support access what caused you to escalate the ticket?,support,asked to allow support access what caused you to escalate the ticket,support,2
"on free plan you cannot use paid templates, remove background option, premium and istock media will be with watermark",remove,on free plan you cannot use paid templates remove background option premium and istock media will be with watermark,remove,1
super access is illogically priced despite most of the items sold on mrp and reasonable profit already generated by seller.,Super Access,super access is illogically priced despite most of the items sold on mrp and reasonable profit already generated by seller,Super Access,0
so there is images with editable text,images,so there is images with editable text,images,1
"- can you send me an email or link, so that you are attributed to it?",email, can you send me an email or link so that you are attributed to it,email,1
"haptics, sound design and responsive gesture animation are like a drug for me.","Haptics,",haptics sound design and responsive gesture animation are like a drug for me,Haptics,0
"we are in the process of collecting notes from users about our new export as pdf, and I will make sure your message gets included for our product team to take to heart.",PDF,we are in the process of collecting notes from users about our new export as pdf and I will make sure your message gets included for our product team to take to heart,PDF,1
"As much the site deserves the 5 stars as much the application sorely lacks flexibility.
",flexibility,"As much the site deserves the 5 stars as much the application sorely lacks flexibility
",flexibility,0
the video is not uploading to the video,uploading,the video is not uploading to the video,uploading,0
the objective of exporting a filter or view is to be able to select some clients and export them to csv in order to send them out to mass email or send them to a caller to make appointments.,csv,the objective of exporting a filter or view is to be able to select some clients and export them to csv in order to send them out to mass email or send them to a caller to make appointments,csv,2
"however, it is probably never going to stop being horrendously slow to launch and use.",launch,however it is probably never going to stop being horrendously slow to launch and use,launch,0
by giving proper reply & service,service,by giving proper reply  service,service,0
but it comes up as trial 1 member,trial,but it comes up as trial 1 member,trial,1
"you can easily import all of your notebooks, but the flexibility of notio.",flexibility,you can easily import all of your notebooks but the flexibility of notio,flexibility,0
This is a wonderful app for keeping track of all my stamps and supplies!,keeping track,This is a wonderful app for keeping track of all my stamps and supplies,keeping track,2
Doesn’t work unless you share with it your personal email and allow the app to share all your private info from it with the developers.,email,Doesnt work unless you share with it your personal email and allow the app to share all your private info from it with the developers,email,1
in pc notion is great.,Notion,in pc notion is great,Notion,2
I tested the system out for a company project as we aren’t 100% happy with current system,project,I tested the system out for a company project as we arent 100 happy with current system,project,0
"Hello, if I create a task and attach a pdf to it from the PC won't let me open it with the app 
",pdf,"Hello if I create a task and attach a pdf to it from the PC wont let me open it with the app 
",pdf,1
copy/paste a whole list of to-dos from @todoist or.,LIST,copypaste a whole list of todos from  or,LIST,1
takes forever to open on my phone,Takes,takes forever to open on my phone,Takes,2
so my colleague used one of your templates to make a youtube intro and outro video.,YouTube,so my colleague used one of your templates to make a youtube intro and outro video,YouTube,1
no invideo branding or watermark 1080p resolution custom font uploads make videos in any language,font,no invideo branding or watermark 1080p resolution custom font uploads make videos in any language,font,2
@notionhq for a digital collaboration app you are surprisingly behind the times with your remote hiring policy.,collaboration, for a digital collaboration app you are surprisingly behind the times with your remote hiring policy,collaboration,0
this piece about @notionhq's approach to design and how they came back from the brink makes for a great read,design,this piece about  approach to design and how they came back from the brink makes for a great read,design,2
"however, you cannot add new blocks afterward, but you can delete existing content blocks to free up your storage.",free,however you cannot add new blocks afterward but you can delete existing content blocks to free up your storage,free,0
"After 5 years of using a variety of task management apps, asana has proven to be the best out there in the market and for our property management company, allowed us to work smoothly and efficiently through the pandemic.",company,After 5 years of using a variety of task management apps asana has proven to be the best out there in the market and for our property management company allowed us to work smoothly and efficiently through the pandemic,company,1
Cluttered ux; free plan doesnt't have proper daily tasks (starting at...,free,Cluttered ux free plan doesntt have proper daily tasks starting at,free,0
best app in it is category.,app,best app in it is category,app,2
i started notion not long ago and i am a student and have a university student account.,student,i started notion not long ago and i am a student and have a university student account,student,1
most times not resolved (for eg nachos and biscuits packets were open or milkshake was missing),milkshake,most times not resolved for eg nachos and biscuits packets were open or milkshake was missing,milkshake,0
Customer service does not get back to you.,Customer service,Customer service does not get back to you,Customer service,0
"Works as it should, dont like the lack of options on mobile as opposed to in browser",mobile,Works as it should dont like the lack of options on mobile as opposed to in browser,mobile,0
great app for organizing notes.,app,great app for organizing notes,app,2
extremely prompt &quick resolution in addressing greviance.,&Quick resolution in addressing greviance.,extremely prompt quick resolution in addressing greviance,Quick resolution in addressing greviance,2
good.return procedure is fast.quality of products is too good.prices r okay.loved it really,fast.quality of products,goodreturn procedure is fastquality of products is too goodprices r okayloved it really,fastquality of products,2
it is just such a shame that the developers pay no attention to the ios app,iOS app,it is just such a shame that the developers pay no attention to the ios app,iOS app,0
I use all the categories and features on the free version.,free,I use all the categories and features on the free version,free,1
can i ask for an invoice since the first time i subscribed until now?,first time,can i ask for an invoice since the first time i subscribed until now,first time,1
how can i pay my subscription?,subscription?,how can i pay my subscription,subscription,1
improve the quality of your supplies specially fruits and vegetables.,fruits,improve the quality of your supplies specially fruits and vegetables,fruits,0
It needs better performance improvement.,performance,It needs better performance improvement,performance,1
but i uninstall because a bit laggy sidebar menu and no material design=(,material design=(,but i uninstall because a bit laggy sidebar menu and no material design,material design,0
"hi, I am using a 24"" screen.",screen.,hi I am using a 24 screen,screen,1
"best app for daily tasks, notes and scheduling.",notes,best app for daily tasks notes and scheduling,notes,2
parity pricing will increase access to no.,pricing,parity pricing will increase access to no,pricing,0
"I have about 3 years using this app as my schedule and task control, it's perfect from the basic version.",task,I have about 3 years using this app as my schedule and task control its perfect from the basic version,task,1
"$$
your math
$$",math,"
your math
",math,2
I'm using the free version for being a small group and compared to others it's more intuitive and easier to fill out.,free,Im using the free version for being a small group and compared to others its more intuitive and easier to fill out,free,1
we would love to be able to calculate total time at the bottom of this column,column,we would love to be able to calculate total time at the bottom of this column,column,1
"however, your android app does not live up to the expectations at all.",app,however your android app does not live up to the expectations at all,app,0
it simply stays on the first screen - white with the logo on it.,logo,it simply stays on the first screen  white with the logo on it,logo,0
takes alot time to open on my phone,Takes,takes alot time to open on my phone,Takes,2
eg your delivery guy tries to substitute amul cow with mother dairy cow.,tries to,eg your delivery guy tries to substitute amul cow with mother dairy cow,tries to,0
i love the way this app organise everything.,app,i love the way this app organise everything,app,2
"my device is unfortunately limited to android 6, however.","android 6,",my device is unfortunately limited to android 6 however,android 6,2
"would you mind providing me your university or college's educational email address and your school's website, please?",school,would you mind providing me your university or colleges educational email address and your schools website please,school,2
"there needs to be a ""main"" calendar or database that can display all of our assigned",There,there needs to be a main calendar or database that can display all of our assigned,There,0
How to change language from Germany to English?,language,How to change language from Germany to English,language,1
reliability and zero delivery charges,delivery,reliability and zero delivery charges,delivery,2
"hi, the function ""search on google""",Google,hi the function search on google,Google,1
Too many updates!,updates,Too many updates,updates,0
I used this most of the time to record my travel expenses.,record,I used this most of the time to record my travel expenses,record,1
I’ve always HATED MS EXCEL.,EXCEL,Ive always HATED MS EXCEL,EXCEL,0
the best note taking app.,app.,the best note taking app,app,2
"It is an excellent application, visually of the best, and in performance as well.",performance,It is an excellent application visually of the best and in performance as well,performance,2
You’d think for how outrageously expensive AirTable is ($200-250/year per *user,expensive,Youd think for how outrageously expensive AirTable is 200250year per user,expensive,0
it is an amazing app.,app.,it is an amazing app,app,2
"Poor SSO integration, never stays signed in",integration,Poor SSO integration never stays signed in,integration,0
"we are using a shared database, yep.",shared,we are using a shared database yep,shared,1
avoid delays improve app add more offers,Avoid,avoid delays improve app add more offers,Avoid,2
prompt delivery despite orders open till 11pm.,delivery,prompt delivery despite orders open till 11pm,delivery,2
"when we cancelled our delivery, we do not receive our amount.","delivery,",when we cancelled our delivery we do not receive our amount,delivery,0
how long does it take to refund the money?,refund,how long does it take to refund the money,refund,1
improve the quality of your supplies.,quality,improve the quality of your supplies,quality,0
prompt delivery and best customer service,delivery,prompt delivery and best customer service,delivery,2
i tried to remove the password from the settings.,password,i tried to remove the password from the settings,password,0
"hi jon, i was wondering if notion ever runs any promotions or know if anyone is for your team pricing.",pricing.,hi jon i was wondering if notion ever runs any promotions or know if anyone is for your team pricing,pricing,1
regularity and timely delivery of products,products,regularity and timely delivery of products,products,2
I am starting from scratch and it will not give me a preview whether i use my videos or yours,preview,I am starting from scratch and it will not give me a preview whether i use my videos or yours,preview,0
how do i test the upload speed,load,how do i test the upload speed,load,0
you people deliver expired milk and paneer.. planning to file a case..,paneer..,you people deliver expired milk and paneer planning to file a case,paneer,0
this app has the best feature of other apps plus some that i have not see around like embedding links.,links.,this app has the best feature of other apps plus some that i have not see around like embedding links,links,2
quality of fruits and vegetables and variety of products,vegetables,quality of fruits and vegetables and variety of products,vegetables,0
since you are on free plan the video will be exported with istock watermark,watermark,since you are on free plan the video will be exported with istock watermark,watermark,1
Unable to download it,download,Unable to download it,download,0
the vegetables which you guys deliver sometimes not fresh..,vegetables,the vegetables which you guys deliver sometimes not fresh,vegetables,0
"for that, I have created a ""projects-timeline"" (attached image) workspace in which we layout all the project's key steps/tasks by ""stages"" and the people that are involved in each step.",layout,for that I have created a projectstimeline attached image workspace in which we layout all the projects key stepstasks by stages and the people that are involved in each step,layout,1
"notion has not been functioning as of recent, it does not respond at all.",Notion,notion has not been functioning as of recent it does not respond at all,Notion,0
love notion but the android app is completely unusable.,android app,love notion but the android app is completely unusable,android app,0
i just hoped i was missing a section of the website.,website.,i just hoped i was missing a section of the website,website,0
do you mean changing email at your bank's end?,email,do you mean changing email at your banks end,email,1
"timely service ,fresh goods",Timely,timely service fresh goods,Timely,2
(whenever we launch it) license to resell videos video resolution in 1080p full access to all editing,resell,whenever we launch it license to resell videos video resolution in 1080p full access to all editing,resell,2
"dear team, we are intrested in buying your product , please send us your price list.",list.,dear team we are intrested in buying your product  please send us your price list,list,2
i started using your platform some weeks ago but realised it is not for me unfortunately.,platform,i started using your platform some weeks ago but realised it is not for me unfortunately,platform,0
overall what this app brings is great.,app,overall what this app brings is great,app,2
"i see the potential, but the android app needs more work.",Android app,i see the potential but the android app needs more work,Android app,0
"if i want to edit the project now and add another istock video file (number 8) and then render, just the last stock file will count towards my limit not the other ones again, right?","render,",if i want to edit the project now and add another istock video file number 8 and then render just the last stock file will count towards my limit not the other ones again right,render,1
on time delivery no skip,time delivery,on time delivery no skip,time delivery,0
i must say that my quest for ultimate knowledge & note organizing app is done,knowledge,i must say that my quest for ultimate knowledge  note organizing app is done,knowledge,2
Terrible connection between devices very difficult to follow the thread!,connection,Terrible connection between devices very difficult to follow the thread,connection,0
"-&gt; i want to learn for the future whether we as a team did something wrong (whether a teammate accidently deleted the file -&gt; therefore it would be good to get the mailadress of ""kaiser""), or we got hacked, or whether there was a failure in the notion system.",file,gt i want to learn for the future whether we as a team did something wrong whether a teammate accidently deleted the file gt therefore it would be good to get the mailadress of kaiser or we got hacked or whether there was a failure in the notion system,file,1
"@mitevpi @notionhq I am using it all the time and have not been affected, but i have noticed that loading templates i.",templates,  I am using it all the time and have not been affected but i have noticed that loading templates i,templates,0
"nice and handy app, but it looks more like a website wrapper ):","app,",nice and handy app but it looks more like a website wrapper ,app,2
note making experience unparalleled.,Note,note making experience unparalleled,Note,2
"we would love to purchase the full price for all people on staff, but we can not afford it for all the volunteers that need access too.",purchase,we would love to purchase the full price for all people on staff but we can not afford it for all the volunteers that need access too,purchase,2
"Please, put on a dark mode.",dark mode,Please put on a dark mode,dark mode,0
best note taking app.. ever!!,note taking app..,best note taking app ever,note taking app,0
please make the iphone app responsive.,Please make the iPhone app responsive.,please make the iphone app responsive,Please make the iPhone app responsive,0
"Quite a good app but could be (much)better. Here's what's wrong...

Bases can't link to one another. This restriction really holds back possibilities, like, say, a single CRM base (with customers, tasks, etc.) that's SHARED by any/all other bases

No offline support whatsoever. Cannot even VIEW without a connection. Bummer.

It's tedious (and/or privacy-invading) to add pics/attachments. I don't want to share my entire iCloud photo library. I DO want to simply copy/paste into attachment fields!

Share menu? Also would be handy to add images, or anything, from other apps to bases via iOS share menu

Collapsible editable groupings of fields (in form view and/or table view) would be FANTASTIC to reduce scrolling and organize 

Vertical scrolling to navigate between records is a huge hassle when there are many fields. PLEASE add next/previous buttons or allow swiping sideways to navigate between records (at least as an option in settings.)",Share,"Quite a good app but could be muchbetter Heres whats wrong

Bases cant link to one another This restriction really holds back possibilities like say a single CRM base with customers tasks etc thats SHARED by anyall other bases

No offline support whatsoever Cannot even VIEW without a connection Bummer

Its tedious andor privacyinvading to add picsattachments I dont want to share my entire iCloud photo library I DO want to simply copypaste into attachment fields

Share menu Also would be handy to add images or anything from other apps to bases via iOS share menu

Collapsible editable groupings of fields in form view andor table view would be FANTASTIC to reduce scrolling and organize 

Vertical scrolling to navigate between records is a huge hassle when there are many fields PLEASE add nextprevious buttons or allow swiping sideways to navigate between records at least as an option in settings",Share,1
I'm torn on the phone version of the app.,phone version,Im torn on the phone version of the app,phone version,1
i was focused on buying the $ 10 plan,plan,i was focused on buying the  10 plan,plan,1
is it anywhere on your roadmap atm?,roadmap,is it anywhere on your roadmap atm,roadmap,1
its take too much time to open.,Its,its take too much time to open,Its,2
"Finally got an email to set up my account, new review pending.",email,Finally got an email to set up my account new review pending,email,1
got a problem adding images from istock.,istock,got a problem adding images from istock,istock,1
Have not paid a dime for this app and it has completely changed how I run my business.,paid,Have not paid a dime for this app and it has completely changed how I run my business,paid,2
"missed delivery of items multiple times, but seem to have improved in last few days",delivery,missed delivery of items multiple times but seem to have improved in last few days,delivery,0
i am transfering all my business stuff over to a new bank .,business,i am transfering all my business stuff over to a new bank ,business,1
please continue to work on the mobile app.,app.,please continue to work on the mobile app,app,2
This app never opens for me.,app never opens,This app never opens for me,app never opens,0
Very bad UI in app on tablet.,tablet,Very bad UI in app on tablet,tablet,0
prompt delivery and availability of products.,availability of products.,prompt delivery and availability of products,availability of products,2
you should not be charge rs2 as delivery charge for milk when we pay money in advance.,delivery charge,you should not be charge rs2 as delivery charge for milk when we pay money in advance,delivery charge,0
stop canceling order and saying not available when the item is available on your site.,ORDER,stop canceling order and saying not available when the item is available on your site,ORDER,0
so what stays in notion can never be taken out using mobile app.,mobile app.,so what stays in notion can never be taken out using mobile app,mobile app,0
"and the dark mode needs a black theme ( appearance) , the dark mode is grey which makes it unattractive .",dark mode,and the dark mode needs a black theme  appearance  the dark mode is grey which makes it unattractive ,dark mode,0
Can’t create new account nor using google account.,account,Cant create new account nor using google account,account,1
flexibility and on time delivery.,delivery.,flexibility and on time delivery,delivery,2
I just discovered that airtable isnt available for offline use.,offline,I just discovered that airtable isnt available for offline use,offline,0
i love notion but it is disappointing to see that the mobile app no longer supports android 6.0.1.,notion,i love notion but it is disappointing to see that the mobile app no longer supports android 601,notion,2
"but if i put ""none"" as animation it will still slide from left to right!",slide,but if i put none as animation it will still slide from left to right,slide,0
reduce delivery/ service charges .,service charges,reduce delivery service charges ,service charges,0
"I am asking about the option in invideo to share with twit, i already has account but what is process in ur plateform",share,I am asking about the option in invideo to share with twit i already has account but what is process in ur plateform,share,1
"delivery time, app features for vacation, door bell, product variety",Delivery,delivery time app features for vacation door bell product variety,Delivery,2
please do not hesitate to drop us a line again whenever you need help.,drop,please do not hesitate to drop us a line again whenever you need help,drop,2
"syncs across devices, notes can be shared easily as.",Syncs,syncs across devices notes can be shared easily as,Syncs,2
"incredible slow start up, it is useless if i have to wait so much",slow start,incredible slow start up it is useless if i have to wait so much,slow start,0
i wanted to see if there is an issue with the credit card function.,credit,i wanted to see if there is an issue with the credit card function,credit,1
"_ nope, that is a dated wordpress theme site for my movie + tv motion design work",design, nope that is a dated wordpress theme site for my movie  tv motion design work,design,0
App is slow and freezes alot during use.,slow,App is slow and freezes alot during use,slow,0
hi i want to download the video i made after i put my card,download,hi i want to download the video i made after i put my card,download,1
reduce lag while typing significantly 3.,lag,reduce lag while typing significantly 3,lag,0
service fee you are taking that is fine but cancelling few orders items that tok in city like hyderabad is a mess .,Service fee,service fee you are taking that is fine but cancelling few orders items that tok in city like hyderabad is a mess ,Service fee,0
i am unable to copy text from notion and paste is somewhere else.,paste,i am unable to copy text from notion and paste is somewhere else,paste,0
"punctuality, genuine products, mrp rates",MRP rates,punctuality genuine products mrp rates,MRP rates,2
but if a cancel i can not reach customer support,customer support,but if a cancel i can not reach customer support,customer support,0
you must abolish delivery charges immediately,delivery charges,you must abolish delivery charges immediately,delivery charges,0
this app has massively improved in the past year and the pc version is a god-send!,PC version,this app has massively improved in the past year and the pc version is a godsend,PC version,2
vegetable price must be reduced,Vegetable,vegetable price must be reduced,Vegetable,0
"Missing grouping, inline URLs in long text and many other features as others have pointed out.

",text,"Missing grouping inline URLs in long text and many other features as others have pointed out

",text,0
i expected online deliveries to cater to me during the lockdown days as i had and still having a milk subscription pending with you,milk,i expected online deliveries to cater to me during the lockdown days as i had and still having a milk subscription pending with you,milk,0
"It would be nice to have a “Tasks I’ve completed” filter, the “recently completed tasks” shows everyone’s tasks.",tasks,It would be nice to have a Tasks Ive completed filter the recently completed tasks shows everyones tasks,tasks,1
Great software but poor android APP.,android,Great software but poor android APP,android,0
"just to tell you that we love you so much, you revolutionized the way we share notes and information.",notes,just to tell you that we love you so much you revolutionized the way we share notes and information,notes,2
do you have coupons available,coupons,do you have coupons available,coupons,1
"This is a great database app, but is there no way to export files (to CSV or some other format) in the iOS version?  ",files,This is a great database app but is there no way to export files to CSV or some other format in the iOS version  ,files,1
it takes quite a bit of time to rearrange everything to create the view i want that already existed in the original instance of the database.,database.,it takes quite a bit of time to rearrange everything to create the view i want that already existed in the original instance of the database,database,0
"I have been playing around with @notionhq to support my planning + project management.
",support,"I have been playing around with  to support my planning  project management
",support,1
hey i am on android 10.,Android 10,hey i am on android 10,Android 10,0
do not allow to order in a pin code if it is a containment area and can not be delivered.,PIN code,do not allow to order in a pin code if it is a containment area and can not be delivered,PIN code,0
ah so did that turn off the volume for just that one scene?,volume,ah so did that turn off the volume for just that one scene,volume,0
early morning delivery,morning Delivery,early morning delivery,morning Delivery,2
"great app on desktop, pretty terrible on mobile: no offline mode, no font size, very slow to open, can not select more than one line?","font size,",great app on desktop pretty terrible on mobile no offline mode no font size very slow to open can not select more than one line,font size,0
"yes, you can have multiple workspace with the paid account, and unfortunately, you cannot associate their workspace to the glassworks account, since you are billed for every workspace and not per account, alex.",workspace,yes you can have multiple workspace with the paid account and unfortunately you cannot associate their workspace to the glassworks account since you are billed for every workspace and not per account alex,workspace,1
i am trying to share it to youtube.,Youtube.,i am trying to share it to youtube,Youtube,1
How to remake the language into Russian on iPhone?,Russian,How to remake the language into Russian on iPhone,Russian,1
No Polish language and dark motif.,language,No Polish language and dark motif,language,0
i am on unlimited plan by the way,plan,i am on unlimited plan by the way,plan,1
is there any way to know before hand the exact timeline of a text so it is easier to simply adjust the duration of the videos or pictures dragged accordingly while dropping?,text,is there any way to know before hand the exact timeline of a text so it is easier to simply adjust the duration of the videos or pictures dragged accordingly while dropping,text,0
also not letting customers use supr credit towards milk purchase is just taking them away from your app.,towards,also not letting customers use supr credit towards milk purchase is just taking them away from your app,towards,0
you can save the draft but you can not share your draft you have to export it,save,you can save the draft but you can not share your draft you have to export it,save,1
sorry i should say it does not play as a facebook cover on my mobile.,facebook,sorry i should say it does not play as a facebook cover on my mobile,facebook,1
is there an upload limit on the paid plan?,upload,is there an upload limit on the paid plan,upload,1
I wish I was in Spanish...,Spanish,I wish I was in Spanish,Spanish,1
hi there i just tried to upgrade my account,account,hi there i just tried to upgrade my account,account,1
dat last edited is 29th april,edited,dat last edited is 29th april,edited,1
"It is free, user friendly and very helpful in organizing any collections one may have.",free,It is free user friendly and very helpful in organizing any collections one may have,free,2
"look this is a great app, but you need to work on two things: 1.","app,",look this is a great app but you need to work on two things 1,app,2
The lack of calendar view makes the app useless on iPad.,calendar,The lack of calendar view makes the app useless on iPad,calendar,0
there are two slides in the first slide iam facing this issue,slide,there are two slides in the first slide iam facing this issue,slide,0
is there a way my video scen do not resizing,resizing,is there a way my video scen do not resizing,resizing,1
Does not support any below Android 7.0. :(,Android,Does not support any below Android 70 ,Android,0
"bug: from my android launcher, opening a web link to an inline object, in my case a board",Android,bug from my android launcher opening a web link to an inline object in my case a board,Android,0
i like how @notionhq arranges itself in accordance with basic aesthetic principles,aesthetic,i like how  arranges itself in accordance with basic aesthetic principles,aesthetic,2
please improve the mobile app version.,mobile app,please improve the mobile app version,mobile app,0
"if you create a free plan like this, many people will use and it affect the quality and the speed of rending invideo.no wonder why i got problem while render and edit video",edit,if you create a free plan like this many people will use and it affect the quality and the speed of rending invideono wonder why i got problem while render and edit video,edit,0
better your delivery and customer service.,delivery,better your delivery and customer service,delivery,0
the delivery should at the door and not on the gate if it is an individual house.,delivery,the delivery should at the door and not on the gate if it is an individual house,delivery,0
packing and delivery of breads cakes is very bad.,breads,packing and delivery of breads cakes is very bad,breads,0
second slide is fine,slide,second slide is fine,slide,0
keeping delivery in time,Delivery,keeping delivery in time,Delivery,2
not happy with delivery charges of 2 rs on subscription amd 20 rs on single item.,delivery charges,not happy with delivery charges of 2 rs on subscription amd 20 rs on single item,delivery charges,0
grouping some blocks together to act as one block would be a very helpful ability have in notion.,blocks,grouping some blocks together to act as one block would be a very helpful ability have in notion,blocks,0
the images show three tasks with no relations to [content projects] or [product projects].,images,the images show three tasks with no relations to content projects or product projects,images,0
hello please can i cancel my subscription and get a refund as i have never used the platform.,cancel,hello please can i cancel my subscription and get a refund as i have never used the platform,cancel,1
try updating the delivery status in advance n promptly make the necessary changes upfront you have been updating the delivery status as delivered even when you have not i had to dispute it for you change it,updating the delivery status,try updating the delivery status in advance n promptly make the necessary changes upfront you have been updating the delivery status as delivered even when you have not i had to dispute it for you change it,updating the delivery status,0
Now they’ve restored mobile file uploads from the various cloud services it’s back to five stars!,file,Now theyve restored mobile file uploads from the various cloud services its back to five stars,file,2
notion desktop app is the best productivity tool but the app totally sucks.,tool,notion desktop app is the best productivity tool but the app totally sucks,tool,2
Bad mobile experience.,mobile,Bad mobile experience,mobile,0
I am talking about the transitions like maybe the video turns a page between scenes or blurs between scenes things like that,scenes,I am talking about the transitions like maybe the video turns a page between scenes or blurs between scenes things like that,scenes,1
i have tried all of the most popular note taking apps.,apps.,i have tried all of the most popular note taking apps,apps,2
i love this app .,app,i love this app ,app,2
i noticed that when i opened the page the background already switched.,switched.,i noticed that when i opened the page the background already switched,switched,1
and professional users get a 20 discount on upgrade,discount,and professional users get a 20 discount on upgrade,discount,1
-1 star because does not support hand writing or sketching with the apple pencil on,Apple Pencil,1 star because does not support hand writing or sketching with the apple pencil on,Apple Pencil,0
so sorry for the trouble accessing your workspace.,workspace,so sorry for the trouble accessing your workspace,workspace,1
"This is a fair, if not great, implementation of an amazing web app.",web app,This is a fair if not great implementation of an amazing web app,web app,2
"This app (and particularly the web version, which I use on my laptop) have revolutionized the way I approach my job and my personal projects.",personal,This app and particularly the web version which I use on my laptop have revolutionized the way I approach my job and my personal projects,personal,2
"hi notion, currently i build an okr page for my team, and I have used relations between the databases.",database,hi notion currently i build an okr page for my team and I have used relations between the databases,database,1
copy & paste could not achieve?,copy,copy  paste could not achieve,copy,1
"Is very slow to load when open, and ofc it takes",slow to load,Is very slow to load when open and ofc it takes,slow to load,0
"every time i try to edit a page or create a link, the tools or keyboard flash up for half a second and close back down.",page,every time i try to edit a page or create a link the tools or keyboard flash up for half a second and close back down,page,0
lately the delivery has become uncertain and does not get reflected correctly unless highlighted.,delivery,lately the delivery has become uncertain and does not get reflected correctly unless highlighted,delivery,0
does your software connect to youtube?,Youtube?,does your software connect to youtube,Youtube,1
quality of vegetables.,Quality,quality of vegetables,Quality,0
"it is still not quite as fast to open as, say, google keep, but considering how powerful and versatile notion is, its really not the problem it used to be at all.",Notion,it is still not quite as fast to open as say google keep but considering how powerful and versatile notion is its really not the problem it used to be at all,Notion,2
we have refunded your payment and cancelled your subscription.,cancelled,we have refunded your payment and cancelled your subscription,cancelled,1
files don't download after pressing download,files,files dont download after pressing download,files,0
"the app speed is fine, if you face frequent slowdowns, then it may be either due to you browser cache, your system memory not being being able to handle the editor's load, an errant plugin, or just slow internet",slow,the app speed is fine if you face frequent slowdowns then it may be either due to you browser cache your system memory not being being able to handle the editors load an errant plugin or just slow internet,slow,0
"i can download it, share it or duplicate it",download,i can download it share it or duplicate it,download,1
"one thing though, ui animations are laggy on ios :/",iOS,one thing though ui animations are laggy on ios ,iOS,0
